,Unnamed: 0.1,Unnamed: 0,text,label
1755,5755,6206,"attal's hang-ups surrounding infidelity are so old-fashioned and , dare i say , outdated , it's a wonder that he couldn't have brought something fresher to the proceedings simply by accident .",0
2330,2771,7036,"the reason i found myself finally unmoved by this film , which is immaculately produced and has serious things to say , is that it comes across rather too plainly as allegory .",0
1606,2910,5257,"ritchie's film is easier to swallow than wertmuller's polemical allegory , but it's self-defeatingly decorous .",0
2844,6332,4759,"the plot has a number of holes , and at times it's simply baffling .",0
1308,3301,6636,"an easy watch , except for the annoying demeanour of its lead character .",0
2013,5246,4483,"i walked away not really know who "" they "" were , what "" they "" looked like . why "" they "" were here and what "" they "" wanted and quite honestly , i didn't care .",0
362,1850,4239,sometimes makes less sense than the bruckheimeresque american action flicks it emulates .,0
979,2086,6134,the film is way too full of itself ; it's stuffy and pretentious in a give-me-an-oscar kind of way .,0
2307,902,5581,"at a time when we've learned the hard way just how complex international terrorism is , collateral damage paints an absurdly simplistic picture .",0
1085,443,4599,its juxtaposition of overwrought existentialism and stomach-churning gore will have you forever on the verge of either cracking up or throwing up .,0
2280,5096,3847,the film's few ideas are stretched to the point of evaporation ; the whole central section is one big chase that seems to have no goal and no urgency . it's just filler .,0
1914,2204,6295,more tiring than anything .,0
1275,1288,5317,"chen films the resolutely downbeat smokers only with every indulgent , indie trick in the book .",0
1974,2109,7076,"so routine , familiar and predictable , it raises the possibility that it wrote itself as a newly automated final draft computer program .",0
1083,2817,5556,avary's film never quite emerges from the shadow of ellis' book .,0
121,428,6931,with spy kids 2 : the island of lost dreams writer/director/producer robert rodriguez has cobbled together a film that feels like a sugar high gone awry .,0
1150,690,4580,koepp's screenplay isn't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own .,0
2023,1413,6421,fluffy neo-noir hiding behind cutesy film references .,0
1741,6363,5423,i watched the brainless insanity of no such thing with mounting disbelief .,0
2242,2806,4779,"'carente de imaginación , mal dirigida , peor actuada y sin un ápice de romance , es una verdadera pérdida de tiempo y dinero'",0
2452,1333,5282,"rob schneider's infantile cross-dressing routines fill the hot chick , the latest gimmick from this unimaginative comedian .",0
1788,3380,4017,the only thing in pauline and paulette that you haven't seen before is a scene featuring a football field-sized oriental rug crafted out of millions of vibrant flowers .,0
1093,3047,5397,. . . hokey art house pretension .,0
632,127,3651,"viewers are asked so often to suspend belief that were it not for holm's performance , the film would be a total washout .",0
1116,279,6899,it's surprisingly bland despite the heavy doses of weird performances and direction .,0
498,981,5776,"interminably bleak , to say nothing of boring .",0
1667,795,5960,"it's best to avoid imprisonment with the dull , nerdy folks that inhabit cherish .",0
1998,2761,5895,the plot convolutions ultimately add up to nothing more than jerking the audience's chain .,0
37,5438,4821,"what little atmosphere is generated by the shadowy lighting , macabre sets , and endless rain is offset by the sheer ugliness of everything else .",0
1513,1655,4423,"a 93-minute condensation of a 26-episode tv series , with all of the pitfalls of such you'd expect .",0
2700,5963,5320,feels like a cold old man going through the motions .,0
3033,681,6979,"high crimes is a cinematic misdemeanor , a routine crime thriller remarkable only for its lack of logic and misuse of two fine actors , morgan freeman and ashley judd .",0
